date,neg,neu,pos,compound
2019-04-21,0.197,0.803,0.0,-0.4019
2019-04-22,0.345,0.473,0.182,-0.34
2019-04-24,0.0,0.824,0.176,0.128
2019-04-20,0.189,0.551,0.26,0.2263
2019-04-23,0.175,0.723,0.102,-0.296
2019-04-17,0.126,0.874,0.0,-0.0772
2019-04-19,0.0,1.0,0.0,0.0
2019-04-25,0.0,0.755,0.245,0.4404
2019-04-18,0.0,0.85,0.15,0.3182
2019-04-26,0.0,0.741,0.259,0.1027
2019-04-29,0.495,0.505,0.0,-0.5994
2019-04-27,0.0,1.0,0.0,0.0
2019-04-28,0.106,0.894,0.0,-0.3071
2019-04-30,0.0,1.0,0.0,0.0
2019-05-01,0.0,1.0,0.0,0.0
2019-05-04,0.167,0.833,0.0,-0.296
2019-05-03,0.0,0.8,0.2,0.3612
2019-05-06,0.0,1.0,0.0,0.0
2019-05-07,0.0,0.467,0.533,0.6908
2019-05-02,0.0,1.0,0.0,0.0
2019-05-05,0.252,0.748,0.0,-0.4019
2019-05-09,0.0,1.0,0.0,0.0
2019-05-13,0.0,0.823,0.177,0.6239
2019-05-11,0.0,1.0,0.0,0.0
2019-05-12,0.0,0.574,0.426,0.886
2019-05-15,0.0,0.787,0.213,0.4019
2019-05-16,0.294,0.603,0.103,-0.5469
2019-05-14,0.182,0.818,0.0,-0.4404
2019-05-17,0.0,1.0,0.0,0.0
2019-05-18,0.0,0.735,0.265,0.2023
2019-05-21,0.0,1.0,0.0,0.0
2019-05-22,0.144,0.619,0.237,0.2263
2019-05-19,0.0,1.0,0.0,0.0
2019-05-20,0.0,0.776,0.224,0.3818
2019-05-23,0.0,1.0,0.0,0.0
2019-05-24,0.0,1.0,0.0,0.0
2019-05-26,0.0,0.476,0.524,0.765
2019-05-27,0.158,0.842,0.0,-0.128
2019-05-30,0.0,1.0,0.0,0.0
2019-05-28,0.307,0.693,0.0,-0.6492
2019-05-29,0.307,0.693,0.0,-0.6492
2019-06-01,0.0,1.0,0.0,0.0
2019-06-02,0.0,1.0,0.0,0.0
2019-06-03,0.0,1.0,0.0,0.0
2019-06-04,0.333,0.667,0.0,-0.5423
2019-06-05,0.0,0.789,0.211,0.34
2019-06-06,0.0,1.0,0.0,0.0
2019-06-07,0.0,1.0,0.0,0.0
2019-06-09,0.167,0.833,0.0,-0.4614
2019-06-10,0.0,1.0,0.0,0.0
2019-06-11,0.0,1.0,0.0,0.0
2019-06-12,0.0,1.0,0.0,0.0
2019-06-13,0.0,1.0,0.0,0.0
2019-06-14,0.0,1.0,0.0,0.0
2019-06-17,0.0,1.0,0.0,0.0
2019-06-18,0.0,1.0,0.0,0.0
2019-06-16,0.0,0.817,0.183,0.4005
2019-06-19,0.179,0.578,0.243,0.2732
2019-06-20,0.0,0.667,0.333,0.4588
2019-06-22,0.184,0.816,0.0,-0.4019
2019-06-24,0.0,1.0,0.0,0.0
2019-06-25,0.176,0.824,0.0,-0.128
2019-06-23,0.0,0.909,0.091,0.2023
2019-06-28,0.0,1.0,0.0,0.0
2019-06-27,0.074,0.926,0.0,-0.0516
2019-06-29,0.0,1.0,0.0,0.0
2019-06-30,0.255,0.745,0.0,-0.34
2019-07-01,0.0,1.0,0.0,0.0
2019-07-04,0.0,1.0,0.0,0.0
2019-07-05,0.0,1.0,0.0,0.0
2019-07-06,0.0,1.0,0.0,0.0
2019-07-07,0.0,1.0,0.0,0.0
2019-07-08,0.0,1.0,0.0,0.0
2019-07-10,0.0,1.0,0.0,0.0
2019-07-09,0.167,0.833,0.0,-0.1027
2019-07-11,0.0,1.0,0.0,0.0
2019-07-13,0.0,1.0,0.0,0.0
2019-07-14,0.0,0.815,0.185,0.3612
2019-07-15,0.0,0.504,0.496,0.7096
2019-07-16,0.0,1.0,0.0,0.0
2019-07-17,0.225,0.775,0.0,-0.4404
2019-07-19,0.0,1.0,0.0,0.0
2019-07-20,0.0,0.672,0.328,0.5267
2019-07-21,0.0,1.0,0.0,0.0
2019-07-22,0.0,1.0,0.0,0.0
2019-07-23,0.0,1.0,0.0,0.0
2019-07-25,0.0,1.0,0.0,0.0
2019-07-26,0.0,0.809,0.191,0.3818
2019-07-27,0.0,1.0,0.0,0.0
2019-07-28,0.262,0.738,0.0,-0.5994
2019-07-29,0.0,1.0,0.0,0.0
2019-07-30,0.0,1.0,0.0,0.0
2019-07-31,0.0,1.0,0.0,0.0
2019-08-01,0.0,1.0,0.0,0.0
2019-08-02,0.0,0.625,0.375,0.5859
2019-08-03,0.0,1.0,0.0,0.0
2019-08-04,0.245,0.638,0.117,-0.296
2019-08-05,0.0,1.0,0.0,0.0
2019-08-06,0.0,1.0,0.0,0.0
2019-08-07,0.0,1.0,0.0,0.0
2019-08-11,0.0,0.776,0.224,0.3818
2019-08-08,0.0,0.776,0.224,0.3818
2019-08-09,0.0,0.776,0.224,0.3818
2019-08-10,0.0,0.776,0.224,0.3818
2019-08-13,0.0,0.809,0.191,0.3818
2019-08-16,0.0,1.0,0.0,0.0
2019-08-14,0.0,0.935,0.065,0.1531
2019-08-15,0.0,0.816,0.184,0.4019
2019-08-17,0.0,1.0,0.0,0.0
2019-08-19,0.086,0.824,0.09,0.0258
2019-08-20,0.0,1.0,0.0,0.0
2019-08-21,0.0,0.776,0.224,0.3818
2019-08-22,0.145,0.855,0.0,-0.296
2019-08-23,0.0,0.85,0.15,0.3182
2019-08-25,0.14,0.467,0.393,0.5719
2019-08-24,0.0,0.779,0.221,0.5697
2019-08-27,0.0,1.0,0.0,0.0
2019-08-30,0.0,1.0,0.0,0.0
2019-08-29,0.0,0.649,0.351,0.4019
2019-09-01,0.0,0.815,0.185,0.3612
2019-09-02,0.0,0.812,0.188,0.4588
2019-09-04,0.0,1.0,0.0,0.0
2019-09-03,0.0,1.0,0.0,0.0
2019-09-06,0.0,1.0,0.0,0.0
2019-09-08,0.0,1.0,0.0,0.0
2019-09-07,0.0,1.0,0.0,0.0
2019-09-05,0.113,0.887,0.0,-0.1027
2019-09-09,0.0,0.794,0.206,0.3818
2019-09-10,0.0,1.0,0.0,0.0
2019-09-13,0.167,0.833,0.0,-0.1027
2019-09-14,0.0,1.0,0.0,0.0
2019-09-11,0.0,0.803,0.197,0.4019
2019-09-12,0.0,0.617,0.383,0.4767
2019-09-15,0.281,0.719,0.0,-0.4101
2019-09-16,0.281,0.719,0.0,-0.4101
2019-09-18,0.0,0.505,0.495,0.5994
2019-09-17,0.0,0.82,0.18,0.5106
2019-09-19,0.0,1.0,0.0,0.0
2019-09-20,0.147,0.733,0.12,-0.1027
2019-09-21,0.0,0.506,0.494,0.5994
2019-09-24,0.235,0.609,0.157,-0.2263
2019-09-23,0.0,1.0,0.0,0.0
2019-09-26,0.0,0.881,0.119,0.2235
2019-09-25,0.0,1.0,0.0,0.0
2019-09-28,0.0,0.564,0.436,0.4754
2019-09-27,0.0,1.0,0.0,0.0
2019-09-29,0.231,0.769,0.0,-0.34
2019-09-30,0.0,1.0,0.0,0.0
2019-10-01,0.0,0.856,0.144,0.4939
2019-10-02,0.18,0.82,0.0,-0.296
2019-10-03,0.0,0.794,0.206,0.5267
2019-10-04,0.191,0.69,0.119,-0.3328
2019-10-06,0.0,1.0,0.0,0.0
2019-10-05,0.387,0.613,0.0,-0.743
2019-10-08,0.0,0.756,0.244,0.6369
2019-10-07,0.0,0.755,0.245,0.5994
2019-10-09,0.254,0.746,0.0,-0.5267
2019-10-10,0.0,0.821,0.179,0.34
2019-10-12,0.0,0.667,0.333,0.5423
2019-10-13,0.0,0.735,0.265,0.5574
2019-10-11,0.0,0.667,0.333,0.5423
2019-10-14,0.0,0.769,0.231,0.5106
2019-10-15,0.0,1.0,0.0,0.0
2019-10-17,0.0,1.0,0.0,0.0
2019-10-19,0.0,1.0,0.0,0.0
2019-10-16,0.0,0.615,0.385,0.6124
2019-10-18,0.0,1.0,0.0,0.0
2019-10-20,0.0,1.0,0.0,0.0
2019-10-21,0.0,1.0,0.0,0.0
2019-10-22,0.0,1.0,0.0,0.0
2019-10-23,0.0,1.0,0.0,0.0
2019-10-24,0.121,0.783,0.096,-0.09
2019-10-25,0.19,0.612,0.197,0.0258
2019-10-26,0.0,0.649,0.351,0.4019
2019-10-27,0.0,1.0,0.0,0.0
2019-10-28,0.057,0.826,0.117,0.34
2019-10-29,0.0,1.0,0.0,0.0
2019-11-03,0.0,1.0,0.0,0.0
2019-11-05,0.0,1.0,0.0,0.0
2019-10-31,0.0,0.704,0.296,0.743
2019-10-30,0.0,0.833,0.167,0.3818
2019-11-07,0.157,0.843,0.0,-0.3818
2019-11-06,0.0,1.0,0.0,0.0
2019-11-01,0.0,0.0,0.0,0.0
2019-11-02,0.0,0.784,0.216,0.5106
2019-11-04,0.0,1.0,0.0,0.0
2019-11-09,0.0,1.0,0.0,0.0
2019-11-08,0.0,0.755,0.245,0.3818
2019-11-10,0.0,1.0,0.0,0.0
2019-11-11,0.0,1.0,0.0,0.0
2019-11-12,0.0,1.0,0.0,0.0
2019-11-13,0.178,0.678,0.144,-0.1027
2019-11-14,0.0,1.0,0.0,0.0
2019-11-15,0.107,0.893,0.0,-0.0516
2019-11-16,0.0,0.838,0.162,0.4019
2019-11-17,0.0,1.0,0.0,0.0
2019-11-19,0.244,0.756,0.0,-0.4404
2019-11-20,0.0,0.417,0.583,0.6808
2019-11-21,0.0,0.808,0.192,0.4215
2019-11-25,0.0,1.0,0.0,0.0
2019-11-23,0.0,0.792,0.208,0.6369
2019-11-22,0.0,1.0,0.0,0.0
2019-11-24,0.0,1.0,0.0,0.0
2019-11-26,0.0,1.0,0.0,0.0
2019-11-27,0.0,1.0,0.0,0.0
2019-11-28,0.0,0.873,0.127,0.6369
2019-11-29,0.0,1.0,0.0,0.0
2019-11-30,0.0,0.0,0.0,0.0
2019-12-03,0.0,0.812,0.188,0.4588
2019-12-04,0.0,1.0,0.0,0.0
2019-12-01,0.0,0.819,0.181,0.6369
2019-12-02,0.0,0.882,0.118,0.34
2019-12-05,0.0,1.0,0.0,0.0
2019-12-06,0.0,0.811,0.189,0.4215
2019-12-07,0.0,0.833,0.167,0.296
2019-12-08,0.0,0.828,0.172,0.4019
2019-12-09,0.195,0.805,0.0,-0.5267
2019-12-11,0.0,0.526,0.474,0.743
2019-12-12,0.0,0.559,0.441,0.743
2019-12-14,0.0,0.722,0.278,0.4019
2019-12-13,0.0,1.0,0.0,0.0
2019-12-16,0.208,0.792,0.0,-0.2732
2019-12-18,0.0,1.0,0.0,0.0
2019-12-17,0.08,0.92,0.0,-0.1027
2019-12-15,0.306,0.694,0.0,-0.296
2019-12-20,0.0,0.809,0.191,0.5106
2019-12-19,0.194,0.806,0.0,-0.5574
2019-12-21,0.0,0.637,0.363,0.6908
2019-12-22,0.0,0.803,0.197,0.4023
2019-12-23,0.0,1.0,0.0,0.0
2019-12-25,0.0,1.0,0.0,0.0
2019-12-24,0.0,1.0,0.0,0.0
2019-12-26,0.0,0.833,0.167,0.3818
2019-12-29,0.237,0.52,0.243,0.0258
2019-12-30,0.0,0.798,0.202,0.5106
2019-12-27,0.152,0.848,0.0,-0.6486
2019-12-28,0.0,0.802,0.198,0.6369
2019-12-31,0.0,0.805,0.195,0.4404
2020-01-01,0.0,1.0,0.0,0.0
2020-01-02,0.0,1.0,0.0,0.0
2020-01-06,0.0,0.876,0.124,0.4019
2020-01-03,0.192,0.808,0.0,-0.2263
2020-01-04,0.0,1.0,0.0,0.0
2020-01-05,0.266,0.734,0.0,-0.4404
2020-01-10,0.0,0.776,0.224,0.3818
2020-01-09,0.0,0.761,0.239,0.296
2020-01-07,0.203,0.797,0.0,-0.4215
2020-01-08,0.0,0.577,0.423,0.765
2020-01-11,0.0,1.0,0.0,0.0
2020-01-12,0.0,0.81,0.19,0.5095
2020-01-15,0.0,1.0,0.0,0.0
2020-01-14,0.0,1.0,0.0,0.0
2020-01-20,0.0,0.84,0.16,0.2263
2020-01-18,0.0,1.0,0.0,0.0
2020-01-19,0.0,0.84,0.16,0.2263
2020-01-22,0.174,0.826,0.0,-0.2732
2020-01-16,0.086,0.914,0.0,-0.128
2020-01-17,0.0,0.913,0.087,0.25
2020-01-13,0.134,0.866,0.0,-0.4767
2020-01-26,0.0,1.0,0.0,0.0
2020-01-24,0.0,1.0,0.0,0.0
2020-01-21,0.0,0.0,0.0,0.0
2020-01-28,0.0,0.613,0.387,0.69
2020-01-25,0.0,1.0,0.0,0.0
2020-01-23,0.0,0.763,0.237,0.4767
2020-01-27,0.0,1.0,0.0,0.0
2020-01-29,0.0,1.0,0.0,0.0
2020-01-30,0.0,0.829,0.171,0.5106
2020-01-31,0.0,1.0,0.0,0.0
2020-02-02,0.0,1.0,0.0,0.0
2020-02-05,0.0,1.0,0.0,0.0
2020-02-07,0.179,0.821,0.0,-0.34
2020-02-03,0.073,0.927,0.0,-0.296
2020-02-08,0.173,0.827,0.0,-0.3182
2020-02-06,0.0,1.0,0.0,0.0
2020-02-04,0.0,0.727,0.273,0.5423
2020-02-11,0.0,1.0,0.0,0.0
2020-02-01,0.32,0.68,0.0,-0.5719
2020-02-12,0.056,0.837,0.108,0.3182
2020-02-13,0.0,0.833,0.167,0.34
2020-02-10,0.0,1.0,0.0,0.0
2020-02-14,0.0,1.0,0.0,0.0
2020-02-09,0.0,0.775,0.225,0.4404
2020-02-15,0.0,1.0,0.0,0.0
2020-02-17,0.0,1.0,0.0,0.0
2020-02-19,0.196,0.804,0.0,-0.296
2020-02-16,0.0,1.0,0.0,0.0
2020-02-20,0.0,1.0,0.0,0.0
2020-02-18,0.158,0.561,0.281,0.34
2020-02-23,0.155,0.845,0.0,-0.3744
2020-02-22,0.218,0.644,0.139,-0.1531
2020-02-21,0.178,0.822,0.0,-0.3818
2020-02-24,0.0,0.718,0.282,0.7096
2020-02-26,0.25,0.75,0.0,-0.25
2020-02-25,0.0,1.0,0.0,0.0
2020-02-27,0.0,0.805,0.195,0.4404
2020-02-28,0.0,0.864,0.136,0.296
2020-02-29,0.0,1.0,0.0,0.0
2020-03-01,0.0,1.0,0.0,0.0
2020-03-03,0.0,1.0,0.0,0.0
2020-03-04,0.0,1.0,0.0,0.0
2020-03-02,0.0,1.0,0.0,0.0
2020-03-05,0.0,0.687,0.313,0.4767
2020-03-08,0.0,0.704,0.296,0.6369
2020-03-06,0.0,0.68,0.32,0.8402
2020-03-07,0.0,1.0,0.0,0.0
2020-03-09,0.0,1.0,0.0,0.0
2020-03-10,0.166,0.69,0.145,-0.0772
2020-03-11,0.0,1.0,0.0,0.0
2020-03-13,0.0,1.0,0.0,0.0
2020-03-15,0.0,1.0,0.0,0.0
2020-03-16,0.164,0.714,0.121,-0.1531
2020-03-19,0.0,0.603,0.397,0.5574
2020-03-20,0.0,0.741,0.259,0.6369
2020-03-22,0.128,0.872,0.0,-0.296
2020-03-12,0.0,1.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,0.0
2020-03-23,0.0,0.75,0.25,0.25
2020-03-24,0.0,0.833,0.167,0.296
2020-03-25,0.0,1.0,0.0,0.0
2020-03-18,0.0,1.0,0.0,0.0
2020-03-17,0.0,0.879,0.121,0.4404
2020-03-21,0.0,1.0,0.0,0.0
2020-03-27,0.0,1.0,0.0,0.0
2020-03-30,0.149,0.851,0.0,-0.2732
2020-03-26,0.177,0.823,0.0,-0.2023
2020-03-28,0.0,1.0,0.0,0.0
2020-03-29,0.333,0.667,0.0,-0.4588
2020-03-31,0.0,1.0,0.0,0.0
2020-04-03,0.081,0.919,0.0,-0.128
2020-04-01,0.0,0.855,0.145,0.1779
2020-04-06,0.0,0.0,0.0,0.0
2020-04-02,0.269,0.625,0.106,-0.3818
2020-04-09,0.0,1.0,0.0,0.0
2020-04-05,0.0,1.0,0.0,0.0
2020-04-04,0.0,0.899,0.101,0.2023
2020-04-11,0.08,0.825,0.095,0.0772
2020-04-08,0.0,1.0,0.0,0.0
2020-04-07,0.0,1.0,0.0,0.0
2020-04-10,0.11,0.698,0.192,0.34
2020-04-13,0.0,0.0,0.0,0.0
2020-04-14,0.0,1.0,0.0,0.0
2020-04-12,0.0,1.0,0.0,0.0
2020-04-15,0.0,0.0,0.0,0.0
2020-04-17,0.0,1.0,0.0,0.0
2020-04-19,0.0,1.0,0.0,0.0
2020-04-20,0.0,1.0,0.0,0.0
2020-04-16,0.0,0.524,0.476,0.8442
2020-04-18,0.0,1.0,0.0,0.0
2020-04-21,0.0,1.0,0.0,0.0
2020-04-23,0.0,1.0,0.0,0.0
2020-04-22,0.259,0.741,0.0,-0.1027
2020-04-24,0.0,0.748,0.252,0.4019
2020-04-25,0.139,0.722,0.139,0.25
2020-04-26,0.0,1.0,0.0,0.0
2020-04-27,0.0,1.0,0.0,0.0
2020-04-29,0.0,1.0,0.0,0.0
2020-04-28,0.0,1.0,0.0,0.0
2020-04-30,0.0,0.0,0.0,0.0
2020-05-01,0.0,1.0,0.0,0.0
2020-05-02,0.0,1.0,0.0,0.0
2020-05-03,0.131,0.657,0.212,0.3818
2020-05-04,0.0,1.0,0.0,0.0
2020-05-05,0.096,0.904,0.0,-0.2044
2020-05-06,0.145,0.855,0.0,-0.296
2020-05-09,0.0,1.0,0.0,0.0
2020-05-07,0.0,0.643,0.357,0.6124
2020-05-12,0.0,1.0,0.0,0.0
2020-05-10,0.0,1.0,0.0,0.0
2020-05-08,0.231,0.769,0.0,-0.34
2020-05-11,0.0,1.0,0.0,0.0
2020-05-15,0.0,1.0,0.0,0.0
2020-05-16,0.0,0.784,0.216,0.296
2020-05-13,0.0,1.0,0.0,0.0
2020-05-14,0.0,0.806,0.194,0.34
2020-05-18,0.0,1.0,0.0,0.0
2020-05-20,0.0,1.0,0.0,0.0
2020-05-17,0.0,1.0,0.0,0.0
2020-05-23,0.0,1.0,0.0,0.0
2020-05-19,0.0,1.0,0.0,0.0
2020-05-24,0.0,1.0,0.0,0.0
2020-05-22,0.0,0.604,0.396,0.7096
2020-05-26,0.0,1.0,0.0,0.0
2020-05-25,0.11,0.89,0.0,-0.2732
2020-05-21,0.0,0.855,0.145,0.1779
2020-05-27,0.0,0.804,0.196,0.3976
2020-05-29,0.194,0.806,0.0,-0.34
2020-05-30,0.097,0.903,0.0,-0.1027
2020-05-28,0.0,1.0,0.0,0.0
2020-05-31,0.209,0.791,0.0,-0.4404
2020-06-05,0.0,1.0,0.0,0.0
2020-06-01,0.0,0.647,0.353,0.5994
2020-06-02,0.0,1.0,0.0,0.0
2020-06-04,0.0,1.0,0.0,0.0
2020-06-03,0.259,0.741,0.0,-0.1027
2020-06-06,0.0,0.704,0.296,0.743
2020-06-07,0.0,1.0,0.0,0.0
2020-06-09,0.097,0.903,0.0,-0.1027
2020-06-08,0.0,0.0,0.0,0.0
2020-06-10,0.0,1.0,0.0,0.0
2020-06-15,0.0,0.628,0.372,0.7717
2020-06-14,0.127,0.873,0.0,-0.1531
2020-06-11,0.0,1.0,0.0,0.0
2020-06-12,0.0,0.816,0.184,0.4019
2020-06-13,0.101,0.899,0.0,-0.2263
2020-06-16,0.113,0.887,0.0,-0.1027
2020-06-17,0.0,1.0,0.0,0.0
2020-06-18,0.0,1.0,0.0,0.0
2020-06-19,0.0,1.0,0.0,0.0
2020-06-20,0.0,0.864,0.136,0.2235
2020-07-01,0.0,1.0,0.0,0.0
2020-07-02,0.091,0.909,0.0,-0.1027
2020-07-03,0.113,0.887,0.0,-0.1027
2020-07-04,0.156,0.844,0.0,-0.4522
2020-07-05,0.0,0.833,0.167,0.3818
2020-07-06,0.0,1.0,0.0,0.0
2020-07-07,0.0,1.0,0.0,0.0
2020-07-08,0.099,0.709,0.191,0.3182
2020-07-09,0.0,0.803,0.197,0.4019
2020-07-10,0.0,1.0,0.0,0.0
2020-07-11,0.0,0.755,0.245,0.3818
2020-07-12,0.0,1.0,0.0,0.0
2020-07-13,0.126,0.719,0.156,0.128
2020-07-14,0.126,0.719,0.156,0.128
2020-07-15,0.0,1.0,0.0,0.0
2020-07-16,0.0,1.0,0.0,0.0
2020-07-17,0.0,1.0,0.0,0.0
2020-07-18,0.0,0.798,0.202,0.4201
2020-07-19,0.13,0.87,0.0,-0.2023
2020-07-20,0.0,1.0,0.0,0.0
2020-07-21,0.0,0.932,0.068,0.0258
2020-07-22,0.0,1.0,0.0,0.0
2020-07-23,0.0,1.0,0.0,0.0
2020-07-24,0.0,1.0,0.0,0.0
2020-07-25,0.0,0.662,0.338,0.5574
2020-07-26,0.0,0.769,0.231,0.2732
2020-07-27,0.0,0.776,0.224,0.3818
2020-07-28,0.0,1.0,0.0,0.0
2020-07-29,0.0,1.0,0.0,0.0
2020-07-30,0.0,1.0,0.0,0.0
2020-07-31,0.0,0.861,0.139,0.4404
2020-08-01,0.0,1.0,0.0,0.0
2020-08-02,0.125,0.774,0.101,-0.1027
2020-08-03,0.0,1.0,0.0,0.0
2020-08-04,0.0,1.0,0.0,0.0
2020-08-05,0.0,1.0,0.0,0.0
2020-08-06,0.0,0.656,0.344,0.6369
2020-08-07,0.0,0.885,0.115,0.0772
2020-08-08,0.255,0.745,0.0,-0.6249
2020-08-09,0.155,0.845,0.0,-0.296
2020-08-10,0.0,1.0,0.0,0.0
2020-08-11,0.0,1.0,0.0,0.0
2020-08-12,0.0,0.769,0.231,0.4588
2020-08-13,0.0,1.0,0.0,0.0
2020-08-14,0.0,0.0,0.0,0.0
2020-08-15,0.0,1.0,0.0,0.0
2020-08-16,0.219,0.781,0.0,-0.2023
2020-08-17,0.143,0.68,0.177,0.128
2020-08-18,0.362,0.638,0.0,-0.5267
2020-08-19,0.179,0.821,0.0,-0.34
2020-08-20,0.0,1.0,0.0,0.0
2020-08-21,0.167,0.833,0.0,-0.1027
2020-08-22,0.224,0.683,0.093,-0.4767
2020-08-23,0.0,1.0,0.0,0.0
2020-08-24,0.097,0.903,0.0,-0.1027
2020-08-25,0.0,1.0,0.0,0.0
2020-08-26,0.16,0.84,0.0,-0.2732
2020-08-27,0.0,0.915,0.085,0.0772
2020-08-28,0.0,1.0,0.0,0.0
2020-08-29,0.205,0.795,0.0,-0.4767
2020-08-30,0.095,0.697,0.209,0.5106
2020-08-31,0.0,1.0,0.0,0.0
2020-09-01,0.0,1.0,0.0,0.0
2020-09-02,0.0,1.0,0.0,0.0
2020-09-03,0.0,1.0,0.0,0.0
2020-09-04,0.0,1.0,0.0,0.0
2020-09-05,0.0,0.804,0.196,0.296
2020-09-06,0.0,0.803,0.197,0.4005
2020-09-07,0.0,1.0,0.0,0.0
2020-09-08,0.0,1.0,0.0,0.0
2020-09-09,0.0,0.926,0.074,0.25
2020-09-10,0.0,0.809,0.191,0.5106
2020-09-11,0.0,1.0,0.0,0.0
2020-09-12,0.0,1.0,0.0,0.0
2020-09-13,0.0,0.752,0.248,0.5106
